Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;;;04° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta sp.;Agouti/Plant;;2 coletas (estação seca e chuvosa) (monitoramento a cada 7 dias durante 5 semanas);x;x;x (obs qtos desenterrados);;;2010;"Haugaasen; Tuck Haugaasen, 2010";"Haugaasen, T.; Tuck Haugaasen, J.M. 2010. Cache pilferage may be prominent in Neotropical forests. Mammalia 74(4), pp. 423-425."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;;25;07° 46' S;51° 57' W;Amazon;Brazil;Dasyprocta leporina;Agouti/Plant;Active search / Visual observation;;x;x;;;;1997;Peres et al., 1997;"Peres, C.A.; Schiesari, L.C.; Dias-Leme, C.L. 1997. Vertebrate predation of Brazil-nuts (Bertholletia excelsa, Lecythidaceae), an agouti-dispersed Amazonn seed crop: A test of the escape hypothesis. Journal of Tropical Ecology 13(1), pp. 69-79."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;47;21;7,5;0,75;65;150;No;5,8;28;07° 46' S;51° 57' W;Amazon;Brazil;Dasyprocta leporina;Plant;Flagged line;;x;x;x;x;;1997;"Peres; Baider, 1997";"Peres, C.A.; Baider, C. 1997. Seed dispersal, spatial distribution and population structure of Brazilnut trees (Bertholletia excelsa) in southeastern Amazon Journal of Tropical Ecology 13(4), pp. 595-616."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;;;01° 02' S;57° 01' W;Amazon;Brazil;Dasyprocta leporina;Plant;Bite marks on seeds;;x;x;;;;2012;"Scoles; Gribel, 2012";"Scoles, R.; Gribel, R. 2012. The regeneration of Brazil nut trees in relation to nut harvest intensity in the Trombetas River valley of Northern Amazon, Brazil. Forest Ecology and Management 265, pp. 71–81."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;;;6° 00' S;61° 50' W;Amazon;Brazil;Dasyprocta sp.;Plant;;;;;;x;;2015;"Scoles; Gribel, 2015";"Scoles, R.; Gribel, R. 2015. Human Influence on the Regeneration of the Brazil Nut Tree (Bertholletia excelsa Bonpl., Lecythidaceae) at Capan Grande Lake, Manicoré, Amazonas, Brazil. Human Ecology 43(6), pp. 843-854. "
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;7,1;50;4° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta fuliginosa;Plant;Flagged line;;x;x;x;;;2012;Tuck Haugaasen et al., 2012;"Tuck Haugaasen, J.M.; Haugaasen, T.; Peres, C.A.; Gribel, R.; Wegge, P. 2012. Fruit Removal and Natural Seed Dispersal of the Brazil Nut Tree (Bertholletia excelsa) in Central Amazon, Brazil. Biotropica 44(2), pp. 205-210."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;65;150;No;;;10° 50' S;68° 23' W;Amazon;Brazil;Dasyprocta variegata;Plant;Monitoramento e classificação da condição dos frutos;70 dias;x;x;;;;2018;Wadt et al., 2018;"Wadt, L.H.O.; Faustino, C.L.; Staudhammer, C.L.; Kainer, K.A.; Evangelista, J.S. 2018. Primary and secondary dispersal of Bertholletia excelsa: Implications for sustainable harvests. Forest Ecology and Management 415-416, pp. 98-105."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Pixide;100;110;1500;20;50;20;7,5;0,75;65;150;No;;;10° 59' S;65° 43' W;Amazon;Bolivia;Dasyprocta sp.;Plant;;;x;x;;x;;2002;"Zuidema; Boot, 2002";"Zuidema, P.A.; Boot, R.G.A. 2002. Demography of the Brazil nut tree (Bertholletia excelsa) in the Bolivian Amazon: Impact of seed extraction on recruitment and population dynamics. Journal of Tropical Ecology 18(1), pp. 1-31."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest e semidecídua de vários estágios sucessionais;Panama;Dasyprocta punctata;Agouti;Captura/ Seed radiotrack;;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;x;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;;;;x;x;;;;2015;Dittel et al., 2015;"Dittel, Jacob W.; Lambert, Thomas D.; Adler, Gregory H. 2015 Seed Dispersal by Rodents in A Lowland Forest in Central Panama Journal of Tropical Ecology"
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;;1 ano 7 meses;x;x;;;;2013;Emsens et al., 2013;"Emsens, W.-J.; Suselbeek, L.; Hirsch, B.T.; Kays, R.; Winkelhagen, A.J.S.; Jansen, P.A. 2013. Effects of Food Availability on Space and Refuge Use by a Neotropical Scatterhoarding Rodent. Biotropica 45(1), pp. 88-93."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation/Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;7;19;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Flagged line;;x;x;x;;;2009;Gálvez et al., 2009;"Gálvez, D.; Kranstauber, B.; Kays, R.W.; Jansen, P.A. 2009. Scatter hoarding by the Central American agouti: a test of optimal cache spacing theory. Animal Behaviour 78(6), pp. 1327-1333."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant / Animals;;;;;;;;2015;Garzon-Lopes et al., 2015;"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A. 2015 Indirect Interactions Among Tropical Tree Species Through Shared Rodent Seed Predators: A Novel Mechanism of Tree Species Coexistence Ecology Letters"
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;241;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Methodology/Agouti;Seed radiotrack;Anos 2006, 2009, 2010;x;x;x;x;;2012;Hirsch et al., 2012a;"Hirsch, B.T.; Kays, R.; Jansen, P.A. 2012a. A telemetric thread tag for tracking seed dispersal by scatter-hoarding rodents. Plant Ecology 213(6), pp. 933-943."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;55;280;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti/Plant;Seed radiotrack;;x;x;x;x;;2012;Hirsch et al., 2012b;"Hirsch, B.T.; Kays, R.; Pereira, V.E.; Jansen, P.A. 2012. Directed seed dispersal towards areas with low conspecific tree density by a scatter-hoarding rodent. Ecology Letters 15(12), pp. 1423-1429."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Seed radiotrack;;;;x;;;2013;Hirsch et al., 2013;"Hirsch, B.T.; Kays, R.; Jansen, P.A. 2013. Evidence for cache surveillance by a scatter-hoarding rodent. Animal Behaviour 85(6), pp. 1511-1516."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti/Plant;;;x;x;x;;;2010;Jansen et al., 2010;"Jansen, P.A.; Elschot, K.; Verkerk, P.J.; Wright, S.J. 2010. Seed predation and defleshing in the agouti-dispersed palm Astrocaryum standleyanum. Journal of Tropical Ecology 26(5), pp. 473-480."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;54,9;280;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Agouti;Seed radiotrack;;x;x;x (88%);;;2012;Jansen et al., 2012;"Jansen, P.A.; Hirsch, B.T.; Emsens, W.-J.; Zamora-Gutierrez, V.; Wikelski, M.; Kays, R. 2012. Thieving rodents as substitute dispersers of megafaunal seeds. Proceedings of the National Academy of Sciences of the United States of America 109(31), pp. 12610-12615."
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Dispersão geral do local;;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;;11 meses;x;x;x;x;;1989;Smythe, 1989;Smythe, N. 1989. Seed survival in the palm Astrocaryum standleyanum: evidence for dependence upon its seed dispersers. Biotropica 21(1), pp. 50-56.
Arecaceae;Astrocaryum;Astrocaryum standleyanum;Drupe;55;40;;;20;15;7,56;;15;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt;;;x;x;;;;2000;Wright et al., 2000;"Wright, S.J.; Zeballos, H.; Domínguez, I.; Gallardo, M.M.; Moreno, M.C.; Ibáñez, R. 2000. Poachers alter mammal abundance, seed dispersal, and seed predation in a Neotropical Forest. Conservation Biology 14(1), pp. 227-239."
Malvaceae;Sterculia;Sterculia chicha;;132;90;;15;35;20;7,6;0,61;20;55;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;x;x;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Anarcadiaceae;Spondias;Spondias mombin;;;;;;28;18;8,6;0,47;15;75;;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Armadilha para captura de fruto e semente/Observações sobre o comportamento alimentar dos animais frugívoros locais/Presença de sementes nas fezes/Classificação de diferentes tipos de frutos;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
Arecaceae;Oenocarpus;Oenocarpus bataua;;35;21,3;10,9;;36;;8,9;;26;;Yes;3,39;53;6° 51' N;75° 08' W;Humid Tropical Forest;Colombia;Dasyprocta fuliginosa;Plant;Flagged line;;x;x;;;;2015;Franco-Quimbay et al., 2015;"Franco-Quimbay, July; Rojas-Robles, Rosario 2015 Frugivoria Y Dispersion De Semillas De La Palma Oenocarpus Bataua En Dos Regiones Con Diferente Estado De Conservacion Actualidades Biologicas"
Arecaceae;Oenocarpus;Oenocarpus bataua;;35;21,3;10,9;;36;;8,9;;26;;Yes;3,39;53;6° 51' N;75° 08' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;Flagged line;;x;x;;;;2015;Franco-Quimbay et al., 2015;"Franco-Quimbay, July; Rojas-Robles, Rosario 2015 Frugivoria Y Dispersion De Semillas De La Palma Oenocarpus Bataua En Dos Regiones Con Diferente Estado De Conservacion Actualidades Biologicas"
Arecaceae;Oenocarpus;Oenocarpus bataua;;35;21;11;;36;;8,9;;26;;Yes;3,1;53;6° 45' N;75° 06' W;Humid Tropical Forest;Colombia;Dasyprocta punctata;Plant;Flagged line;10 meses;x;x;x;;;2012;Rojas-Robles et al., 2012;"Rojas-Robles, R.; Gary Stiles, F.; Muñoz-Saba, Y. 2012. Frugivoría y dispersión de semillas de la palma Oenocarpus bataua (Arecaceae) en un bosque de los Andes colombianos. Revista de Biologia Tropical 60(4), pp. 1445-1461."
Fabaceae;Andira;Andira inermis;;;;;;;;9,2;;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Chrysobalanaceae;Licania;Licania alba;;;;;;;;10,2;0,89;;;;;;4° 05' N;52° 41' W;;French Guyana;Dasyprocta leporina;;;;x;x;x;;;2001;Jansen & Forget, 2001;Jansen,P.A.& Forget,P.M.(2001). Scatterhoarding rodents and tree regeneration. In Nouragues: Dynamics and Plant-Animal Interactions in a Neotropical Rainforest (eds F. Bongers,P. Charles-Dominique,P.M. Forget and M. Th´ery), pp. 275–288. Monographiae Biologicae, vol 80. Springer, Dordrecht
Fabaceae;Dipteryx;Dipteryx oleifera;;;;;1;50;35;10,3;0,84;40;150;Yes;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Other;;;x;x;x;;;1970;Smythe, 1970;Smythe, N. 1970. Relationships between fruiting seasons and seed dispersal methods in a Neotropical Forest. The American Naturalist 104(935), pp. 25-35.
Fabaceae;Swartzia;Swartzia caribaea;;;;;;34;25;11,13;;15;;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Gaiola de exclusão (tirar efeito da cutia);;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Drupe;37,5;32,5;28,7;1;42,7;28,8;11,43;;8;;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;x;x>;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Attalea;Attalea attaleoides;;50;25;;2;;;12;;0;;Yes;;;02° 50' S;59° 59' W;Amazon;Brazil;Dasyprocta leporina;;;;;;;;;2012;de Freitas et al., 2012;"de Freitas, Cintia Gomes; Capellotto Costa, Flavia Regina; Svenning, Jens-Christian; Balslev, Henrik 2012 Topographic Separation of Two Sympatric Palms in the Central Amazon - Does Dispersal Play A Role? Acta Oecologica-International Journal of Ecology"
Sapotaceae;Pouteria;Pouteria campechiana;;;;;;;;12,3;0,79;15;;;11,2;18,4;20° 01' N;88° 20' W;;Mexico;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;x;;2011;Gutiérrez-Granados, 2011;Gutiérrez-Granados, G. 2011. Effect of logging on rodent scatter-hoarding dynamics in tropical forests: Implications for plant recruitment. Integrative Zoology 6(2), pp. 74-80.
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;Flagged line;;x;N;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;;;;;Dasyprocta sp.;;;;x;x>;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;4,1;10,8;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Flagged line;;x;x;x;x;;1992;Forget, 1992b;Forget, P.-M. 1992. Seed removal and seed fate in Gustavia superba (Lecythidaceae). Biotropica 24(3), pp. 408-414.
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Visual observation;2 meses;x;x;;;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Lecythidaceae;Gustavia;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;20;45;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Metal implants;;x;x;x;x;;1987;Sork, 1987;Sork, V.L. 1987. Effects of predation and light on seedling establishment in Gustavia superba. Ecology 68(5), pp. 1341-1350.
Gnetaceae;Gnetum;Gnetum leyboldii;Liana;50;25;;1;45;20;12,86;;;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;;;;x;x;x;;;2002;Forget et al. (2002);Forget,P.M., Hammond,D.S., Milleron,T.& Thomas,R.(2002). Seasonality offruiting and food hoarding by rodents in Neotropical forests: consequences for seed dispersal and seedling recruitment. In Seed Dispersal and Frugivory: Ecology, Evolution, and Conservation (eds D. J. Levey,W.R. Silva and M. Galetti), pp. 241–256. CABI
Gnetaceae;Gnetum;Gnetum leyboldii;;50;25;;1;45;20;12,86;;30;20;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Chrysobalanaceae;Parinari;Parinari campestris;;;;;;;;13,9;0,68;;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Myrtaceae;Eugenia;Eugenia neoverrucosa;;47;44;41;1;30;28;14;;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Fabaceae;Entada;Entada gigas;;;;;;60;60;14,33;;;;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Exclosure / Line;6 meses;;;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
