Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;120;45;90;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;120;45;90;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;70;50;125;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;6,4;12;4° 55' S;73° 40' W;Amazon;Peru;Dasyprocta fuliginosa;Plant;Metal implants;;x;x;x;;;2004;Gorchov et al., 2004;"Gorchov, D.L.; Palmeirim, J.M.; Jaramillo, M.; Ascorra, C.F. 2004. Dispersal of seeds of Hymenaea courbaril (Fabaceae) in a logged rain forest in the Peruvian Amazonn. Acta Amazonica 34(2), pp. 251-259."
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;123,2;45,6;125;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti;;2 meses;;;x;;;2005;Guimarães Jr. et al., 2005a;"Guimarães Jr., P.R.; Gomez, B.Z.; Ahn, Y.J.; Galetti, M. 2005. Cache pilferage in redrumped agoutis (Dasyprocta leporina) (Rodentia). Mammalia 69 (3-4): 427-430."
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;120;45;90;4,5;31,5;15,9;4,9;0,76;Species;60;90;Yes;29;225;10° 26' N;84° 00' W;Oak forest/  Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti/Plant;Spool and line;;x;x;x;x;;1986;Hallwachs, 1986;Hallwachs, W. 1986. Agoutis (Dasyprocta punctata): the inheritors of guapinol (Hymenaea courbaril: Leguminosae). Pp. 285±304 in Estrada A. & Fleming, T. H. (eds). Frugivores and seed dispersal. W. Junk Publishers, Dordrecht, Netherlands.
Fabaceae;Hymenaea;Hymenaea courbaril;Accepted;Leguminosae;Hymenaea;courbaril;Hymenaea courbaril;legume;123,2;45,6;125;4,5;28;18;4,9;0,76;Species;60;90;Yes;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;x;;;2006;Guimarães Jr. et al., 2006;"Guimarães Jr., P.R.; Kubota, U.; Gomes, B.Z.; Fonseca, R.L.; Bottcher, C.; Galetti, M. 2006. Testing the quick meal hypothesis: The effect of pulp on hoarding and seed predation of Hymenaea courbaril by red-rumped agoutis (Dasyprocta leporina). Austral Ecology 31(1), pp. 95-98."
Myrtaceae;Eugenia;Eugenia neoverrucosa;Accepted;Myrtaceae;Eugenia;neoverrucosa;Eugenia neoverrucosa;;47;44;41;1;30;28;14;0,755;Genus;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Myrtaceae;Eugenia;Eugenia supraaxillaris;Accepted;Myrtaceae;Eugenia;supraaxillaris;Eugenia supraaxillaris;;41;36;35;1;28;28;16;0,755;Genus;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Myrtaceae;Eugenia;Eugenia multicostata;Accepted;Myrtaceae;Eugenia;multicostata;Eugenia multicostata;;30;27;10;1;25;24;4;0,755;Genus;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Myrtaceae;Eugenia;Eugenia coloradoensis;Synonym;Myrtaceae;Eugenia;florida;Eugenia florida;;;;;;;;1,27;0,755;Genus;;;No;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;;;04° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta sp.;Agouti/Plant;;2 coletas (estação seca e chuvosa) (monitoramento a cada 7 dias durante 5 semanas);x;x;x (obs qtos desenterrados);;;2010;"Haugaasen; Tuck Haugaasen, 2010";"Haugaasen, T.; Tuck Haugaasen, J.M. 2010. Cache pilferage may be prominent in Neotropical forests. Mammalia 74(4), pp. 423-425."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;;25;07° 46' S;51° 57' W;Amazon;Brazil;Dasyprocta leporina;Agouti/Plant;Active search / Visual observation;;x;x;;;;1997;Peres et al., 1997;"Peres, C.A.; Schiesari, L.C.; Dias-Leme, C.L. 1997. Vertebrate predation of Brazil-nuts (Bertholletia excelsa, Lecythidaceae), an agouti-dispersed Amazonn seed crop: A test of the escape hypothesis. Journal of Tropical Ecology 13(1), pp. 69-79."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;;;01° 02' S;57° 01' W;Amazon;Brazil;Dasyprocta leporina;Plant;Bite marks on seeds;;x;x;;;;2012;"Scoles; Gribel, 2012";"Scoles, R.; Gribel, R. 2012. The regeneration of Brazil nut trees in relation to nut harvest intensity in the Trombetas River valley of Northern Amazon, Brazil. Forest Ecology and Management 265, pp. 71–81."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;;;6° 00' S;61° 50' W;Amazon;Brazil;Dasyprocta sp.;Plant;;;;;;x;;2015;"Scoles; Gribel, 2015";"Scoles, R.; Gribel, R. 2015. Human Influence on the Regeneration of the Brazil Nut Tree (Bertholletia excelsa Bonpl., Lecythidaceae) at Capan Grande Lake, Manicoré, Amazonas, Brazil. Human Ecology 43(6), pp. 843-854. "
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;7,1;50;4° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta fuliginosa;Plant;Flagged line;;x;x;x;;;2012;Tuck Haugaasen et al., 2012;"Tuck Haugaasen, J.M.; Haugaasen, T.; Peres, C.A.; Gribel, R.; Wegge, P. 2012. Fruit Removal and Natural Seed Dispersal of the Brazil Nut Tree (Bertholletia excelsa) in Central Amazon, Brazil. Biotropica 44(2), pp. 205-210."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;21;7,5;0,75;Species;65;150;No;;;10° 50' S;68° 23' W;Amazon;Brazil;Dasyprocta variegata;Plant;Monitoramento e classificação da condição dos frutos;70 dias;x;x;;;;2018;Wadt et al., 2018;"Wadt, L.H.O.; Faustino, C.L.; Staudhammer, C.L.; Kainer, K.A.; Evangelista, J.S. 2018. Primary and secondary dispersal of Bertholletia excelsa: Implications for sustainable harvests. Forest Ecology and Management 415-416, pp. 98-105."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;50;20;7,5;0,75;Species;65;150;No;;;10° 59' S;65° 43' W;Amazon;Bolivia;Dasyprocta sp.;Plant;;;x;x;;x;;2002;"Zuidema; Boot, 2002";"Zuidema, P.A.; Boot, R.G.A. 2002. Demography of the Brazil nut tree (Bertholletia excelsa) in the Bolivian Amazon: Impact of seed extraction on recruitment and population dynamics. Journal of Tropical Ecology 18(1), pp. 1-31."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;47;21;7,5;0,75;Species;65;150;No;5,8;28;07° 46' S;51° 57' W;Amazon;Brazil;Dasyprocta leporina;Plant;Flagged line;;x;x;x;x;;1997;"Peres; Baider, 1997";"Peres, C.A.; Baider, C. 1997. Seed dispersal, spatial distribution and population structure of Brazilnut trees (Bertholletia excelsa) in southeastern Amazon Journal of Tropical Ecology 13(4), pp. 595-616."
Lecythidaceae;Bertholletia;Bertholletia excelsa;Accepted;Lecythidaceae;Bertholletia;excelsa;Bertholletia excelsa;Pixide;100;110;1500;20;40;20;6,7;0,75;Species;65;150;No;8;50;4° 14' S;62° 23' W;Amazon;Brazil;Dasyprocta fuliginosa;Agouti/Plant;Flagged line;;x;x;x;;;2010;Tuck Haugaasen et al., 2010;"Tuck Haugaasen, J.M.; Haugaasen, T.; Peres, C.A.; Gribel, R.; Wegge, P. 2010. Seed dispersal of the Brazil nut tree (Bertholletia excelsa) by scatter-hoarding rodents in a central Amazonn forest.  Journal of Tropical Ecology 26 (3), pp. 251-262."
Clusiaceae;Garcinia;Garcinia gardneriana;Synonym;Clusiaceae;Garcinia;brasiliensis;Garcinia brasiliensis;;35;28;13,7;1;27;14;2,9;0,75;Species;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Clusiaceae;Garcinia;Garcinia brasiliensis;Accepted;Clusiaceae;Garcinia;brasiliensis;Garcinia brasiliensis;;;;;;;;0,96;0,75;Species;;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Chrysobalanaceae;Parinari;Parinari montana;Accepted;Chrysobalanaceae;Parinari;montana;Parinari montana;;;;;;75;48;;0,73;Species;30;;;;;;;;;Dasyprocta sp.;Plant;Personal observation;;x;x;;;;2007;Forget et al., 2007;Forget, P. M., Dennis, A. J., Mazer, S. J., Jansen, P. A., Kitamura, S., Lambert, J. E., & Westcott, D. A. (2007). Seed allometry and disperser assemblages in tropical rainforests: a comparison of four floras on different continents. 2007) Seed dispersal: theory and its application in a changing world. Wallingford, UK: CAB International Publishing, 5-36.
Lecythidaceae;Lecythis;Lecythis corrugata;Accepted;Lecythidaceae;Lecythis;corrugata;Lecythis corrugata;;;;;;;;1,24;0,73;Species;34;;No;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Lecythidaceae;Lecythis;Lecythis corrugata;Accepted;Lecythidaceae;Lecythis;corrugata;Lecythis corrugata;;;;;;;;1,24;0,73;Species;34;;;;;03° 25' N;61° 40' W;Amazon;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2003;"Silvius; Fragoso, 2003";"Silvius, K.M.; Fragoso, J.M.V. 2003. Red-rumped agouti (Dasyprocta leporina) home range use in an Amazonn forest: Implications for the aggregated distribution of forest trees. Biotropica 35(1), pp. 74-83."
Fabaceae;Eperua;Eperua falcata;Accepted;Leguminosae;Eperua;falcata;Eperua falcata;;;;;;41;27;7,4;0,72;Species;70;;Yes;10;30;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;Active search / Visual observation;;x;x;;;;1989;Forget, 1989;Forget, P. (1989). La Regeneration Naturelle D'une Espece Autochore de La Foret Guyanaise: Eperua falcata Aublet (Caesalpiniaceae). Biotropica, 21(2), 115-125. doi:10.2307/2388702
Fabaceae;Andira;Andira macrocarpa;Accepted;Leguminosae;Andira;macrocarpa;Andira macrocarpa;;;;;;;;3,2;0,72;Genus;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira legalis;Accepted;Leguminosae;Andira;legalis;Andira legalis;;;;;;;;3,028;0,72;Genus;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira galeottiana;Accepted;Leguminosae;Andira;galeottiana;Andira galeottiana;;;;;;;;3;0,72;Genus;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira grandistipula;Accepted;Leguminosae;Andira;grandistipula;Andira grandistipula;;;;;;;;3;0,72;Genus;;;;;;;;;;Dasyprocta sp.;;;;;;;;;1996;Pennington (1996);Pennington, R. T. (1996). Molecular and morphological data provide phylogenetic resolution at different hierarchical levels in Andira. Systematic Biology, 45(4), 496-515.
Fabaceae;Andira;Andira surinamensis;Accepted;Leguminosae;Andira;surinamensis;Andira surinamensis;;;;;;;;2,8;0,71;Species;;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Moraceae;Pseudolmedia;Pseudolmedia spuria;Accepted;Moraceae;Pseudolmedia;spuria;Pseudolmedia spuria;;;;;;;16;1,9;0,71;Species;27;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Arecaceae;Oenocarpus;Oenocarpus mapora;Accepted;Arecaceae;Oenocarpus;mapora;Oenocarpus mapora;;25;20;;;;;1,35;0,71;Species;20;;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Other animals;;;x;x;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Arecaceae;Oenocarpus;Oenocarpus mapora;Accepted;Arecaceae;Oenocarpus;mapora;Oenocarpus mapora;;25;20;;;;;1,35;0,71;Species;20;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;;;;;;;;2007;Beckman & Muller-Landau (2007);"Beckman, Noelle G.; Muller-Landau, Helene C. 2007 Differential Effects of Hunting On Pre-dispersal Seed Predation and Primary and Secondary Seed Removal of Two Neotropical Tree Species Biotropica"
;Bagassa ;Bagassa guianensis;Accepted;Moraceae;Bagassa;guianensis;Bagassa guianensis;;;;;;;;;0,707727273;;70;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Sapotaceae;Pouteria;Pouteria cuspidata;Accepted;Sapotaceae;Pouteria;cuspidata;Pouteria cuspidata;;;;;;;;;0,701;Genus;35;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Fabaceae;Eperua;Eperua grandiflora;Accepted;Leguminosae;Eperua;grandiflora;Eperua grandiflora;;;;;;67;60;22;0,7;Species;60;;Yes;;;5° 18' N;52° 53' W;Amazon;French Guiana;Dasyprocta leporina;;;;x;x;x;x;;1992;Forget, 1992;Forget, P. (1992). Regeneration Ecology of Eperua grandiflora (Caesalpiniaceae), a Large-Seeded Tree in French Guiana. Biotropica, 24(2), 146-156. doi:10.2307/2388668
Fabaceae;Eperua;Eperua grandiflora;Accepted;Leguminosae;Eperua;grandiflora;Eperua grandiflora;;;;;;67;60;22;0,7;Species;60;;Yes;;;;;;French Guiana;Dasyprocta leporina;;;;;;;;;1983;Sabatier (1983);SABATIER, D. (1983). Fructification and diss emination en for^ et Guyanaise. L’exemple de quelques esp eces ligneuses (Doctoral dissertation, PhD Dissertation. Th ese de doctorat de l’Universit e USTL, Montpellier, France).
Fabaceae;Ormosia;Ormosia arborea;Accepted;Leguminosae;Ormosia;arborea;Ormosia arborea;;80;3;;;16;14;1,25;0,7;Species;22;65;No;;;22° 55' S;47° 01' W;;Brazil;Dasyprocta leporina;Agouti/Plant;Visual observation;;x;x;;;;2003;Guimarães Jr. et al., 2003;"Guimarães Jr., P.R.; José, J.; Galetti, M.; Trigo, J.R. 2003. Quinolizidine alkaloids in Ormosia arborea seeds inhibit predation but not hoarding by agoutis (Dasyprocta leporina). Journal of Chemical Ecology 29(5), pp. 1065-1072."
Annonaceae;Xylopia;Xylopia brasiliensis;Accepted;Annonaceae;Xylopia;brasiliensis;Xylopia brasiliensis;;26;4,5;;;5,8;4,1;0,07;0,7;Species;30;40;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Caryocaraceae;Caryocar;Caryocar coriaceum;Accepted;Caryocaraceae;Caryocar;coriaceum;Caryocar coriaceum;Drupe;;;;;;;;0,7;Genus;20;200;;6,3;15;07° 11' S;39° 36' W;Cerrado;Brazil;Dasyprocta prymnolopha;Plant;Flagged line;;x;x;x;;;2016;Charll dos Santos et al., 2016;Charll dos Santos, G., Schiel, N., de Lima Araújo, E., & Paulino Albuquerque, U. (2016). Caryocar coriaceum (Caryocaraceae) diaspore removal and dispersal distance on the margin and in the interior of a Cerrado area in Northeastern Brazil. Revista de biologia tropical, 64(3), 1117-1128.
Myrtaceae;Myrcia;Myrcia spectabilis;Accepted;Myrtaceae;Myrcia;spectabilis;Myrcia spectabilis;;13;14,7;;;;11,4;;0,7;Species;10;;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;x;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Chrysobalanaceae;Licania;Licania platypus;Accepted;Chrysobalanaceae;Licania;platypus;Licania platypus;Drupe;140;120;;1;100;60;6,3;0,69;Species;34;80;Yes;;;19° 05' N;90° 45' W;floresta tropical;Mexico;Dasyprocta punctata;Plant;;;x;x>;;;;2016;"Camargo-Sanabria; Mendoza, 2016";"Camargo-Sanabria, A.A.; Mendoza, E. 2016. Interactions between terrestrial mammals and the fruits of two neotropical rainforest tree species. Acta Oecologica 73, pp. 45-52."
Chrysobalanaceae;Licania;Licania platypus;Accepted;Chrysobalanaceae;Licania;platypus;Licania platypus;Drupe;140;120;;1;100;60;6,3;0,69;Species;34;80;Yes;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Sapindaceae;Billia;Billia rosea;Accepted;Sapindaceae;Billia;rosea;Billia rosea;;;;;;60;;;0,69;Species;;;;;;10° 18' N;84° 48' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Other animals;;;;;;;;2009;Chinchilla, 2009;Chinchilla, F.A. 2009. Seed predation by mammals in forest fragments in Monteverde, Costa Rica. Revista de Biologia Tropical 57(3), pp. 865-877.
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Exclosure;;x;x;;x;;1997;Asquith et al., 1997;"Asquith, N.M.; Wright, S.J.; Clauss, M.J. 1997. Does mammal community composition control recruitment in neotropical forests? Evidence from Panama. Ecology 78(3), pp. 941-946."
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Mammals / Fragmentation;;;x;x;;;x;2005;"Asquith; Mejia-Chang, 2005";"Asquith, N.M.; Mejia-Chang, M. 2005. Mammals, edge effects, and the loss of tropical forest diversity. Ecology, 86(2), pp. 379-390."
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;;;;;Dasyprocta sp.;;;;x;x>;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;4,1;10,8;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Flagged line;;x;x;x;x;;1992;Forget, 1992b;Forget, P.-M. 1992. Seed removal and seed fate in Gustavia superba (Lecythidaceae). Biotropica 24(3), pp. 408-414.
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Visual observation / Line;6 meses;x;x;;;x;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Agouti/Plant;Visual observation;2 meses;x;x;;;;1987;"Larson; Howe, 1987";"Larson, D.; Howe, H.F. 1987. Seed dispersal and destruction of Virola surinamensis seeds by agoutis: Appearance and reality. J. Mammalogy 68(4), pp. 859-860."
Lecythidaceae;Gustavia;Gustavia superba;Accepted;Lecythidaceae;Gustavia;superba;Gustavia superba;;110;65;375;10;22,5;;12,6;0,69;Species;27;45;No;;;9° 10' N;79° 51' W;;Panama;Dasyprocta punctata;Plant;Metal implants;;x;x;x;x;;1987;Sork, 1987;Sork, V.L. 1987. Effects of predation and light on seedling establishment in Gustavia superba. Ecology 68(5), pp. 1341-1350.
Moraceae;Brosimum;Brosimum alicastrum;Accepted;Moraceae;Brosimum;alicastrum;Brosimum alicastrum;;;;;;21;21;2,7;0,69;Species;35;115;;;;;;;;Dasyprocta sp.;;;;x;x;;;;1998;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Chrysobalanaceae;Parinari;Parinari campestris;Accepted;Chrysobalanaceae;Parinari;campestris;Parinari campestris;;;;;;;;13,9;0,68;Species;33;;;;;;;;Guyana;Dasyprocta leporina;;;;;;;;;1992;Polak (1992);Polak, A. M. (1992). Major timber trees of Guyana: a field guide.
Meliaceae;Guarea;Guarea glabra;Accepted;Meliaceae;Guarea;glabra;Guarea glabra;;;;;;;;0,8;0,67;Species;20;;No;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant;Visual observation;;x;;;;;1979;"Howe; De Steven, 1979";"Howe, H.F.; De Steven, D. 1979. Fruit production, migrant bird visitation, and seed dispersal of Guarea glabra in Panama. Oecologia 39(2), pp.185-196. "
Meliaceae;Guarea;Guarea glabra;Accepted;Meliaceae;Guarea;glabra;Guarea glabra;;;;;;;;0,8;0,67;Species;20;;No;10;65;10° 12' N;84° 42' W;Lower Montane Rainforest;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;x;x;;1999;Wenny, 1999;Wenny, D.G. 1999. Two-stage dispersal of Guarea glabra and G. kunthiana (Meliaceae) in Monteverde, Costa Rica. Journal of Tropical Ecology 15(4), pp. 481-496.
